"id","bdate","ddate","lifespan","data","name","seats"
"A002205",314,366,52,"ddm","支遁",NA
"A002208",307,380,73,"ddm","竺法義",NA
"A002211",323,395,72,"ddm","曇徽",NA
"A002214",327,402,75,"ddm","竺法曠",NA
"A002217",337,412,75,"ddm","慧持",NA
"A002218",332,414,82,"ddm","慧永",NA
"A002222",344,416,72,"ddm","僧䂮",NA
"A002224",346,417,71,"ddm","道恒",NA
"A002225",355,439,84,"ddm","慧叡",NA
"A002226",372,444,72,"ddm","慧義",NA
"A002228",365,442,77,"ddm","僧弼",NA
"A002236",383,452,69,"ddm","僧徹",NA
"A002237",362,457,95,"ddm","僧導",NA
"A002238",367,466,99,"ddm","道汪",NA
"A002239",417,472,55,"ddm","釋慧靜",NA
"A002242",373,472,99,"ddm","梵敏",NA
"A002243",398,466,68,"ddm","道溫",NA
"A002248",411,475,64,"ddm","道猛",NA
"A002251",412,477,65,"ddm","帛道猷",NA
"A002253",414,481,67,"ddm","僧淵",NA
"A002254",390,489,99,"ddm","曇度",NA
"A002255",451,481,30,"ddm","道慧",NA
"A002256",430,489,59,"ddm","僧鍾",NA
"A002258",409,487,78,"ddm","智林",NA
"A002259",409,489,80,"ddm","法瑗",NA
"A002260",414,484,70,"ddm","僧遠",NA
"A002261",408,486,78,"ddm","僧慧",NA
"A002262",431,494,63,"ddm","僧柔",NA
"A002263",412,496,84,"ddm","慧基",NA
"A002264",434,490,56,"ddm","慧次",NA
"A002265",429,490,61,"ddm","慧隆",NA
"A002266",438,496,58,"ddm","僧宗",NA
"A002267",454,498,44,"ddm","法安",NA
"A002268",435,499,64,"ddm","僧印",NA
"A002269",437,500,63,"ddm","釋法度",NA
"A002270",440,502,62,"ddm","智秀",NA
"A002271",431,504,73,"ddm","慧球",NA
"A002273",447,507,60,"ddm","智順",NA
"A002274",443,512,69,"ddm","法通",NA
"A002275",456,515,59,"ddm","慧集",NA
"A002276",443,518,75,"ddm","曇斐",NA
"A002279",250,349,99,"ddm","竺佛調",NA
"A002281",263,324,61,"ddm","揵陀勒",NA
"A002282",199,298,99,"ddm","訶羅竭",NA
"A002285",282,381,99,"ddm","涉公",NA
"A002287",370,431,61,"ddm","史宗",NA
"A002291",374,473,99,"ddm","邵碩",NA
"A002292",435,499,64,"ddm","慧安",NA
"A002295",400,499,99,"ddm","慧通",NA
"A002296",418,515,97,"ddm","寶誌",NA
"A002297",222,321,99,"ddm","竺僧顯",NA
