"p","pname","bdate","ddate","seats"
"P4171","ras chen pa dpal grags/","1148","1218" , 
"P4172","sangs rgyas ras pa rin chen smon lam/","1203","1280" , 
"P4173","sangs rgyas rin chen/","1247","1301","G30"
"P4174","sangs rgyas rin chen rgyal mtshan/","1350","1431" , 
"P4179","se chang dkon mchog bsod nams/","1785","1845","G162"
"P4184","se ra byes mkhan po byams pa yon tan/","1671","1737","G155"
"P4185","ser li dkon mchog rgyal mtshan/","1773","1815","G162"
"P4186","ser li blo bzang mchog grub/","1720","1777","G162"
"P4187","so chung dge 'dun 'bar/","1062","1128" , 
"P4197","sa skya slob dpon grags pa rgyal mtshan/","1433","1474","G312"
"P4200","za lung slob dpon rnam rgyal mdzes/","1233","1277" , 
"P4202","sa skya slob dpon ye shes 'byung gnas/","1238","1274","G210"
"P4203","slob dpon shAkya rgyal po/","1384","1474" , 
"P4204","sa skya slob dpon bsod nams bkra shis/","1352","1407","G436"
"P4206","bsam gling pa/","1189","1260" , 
"P4208","bsod grags sprul sku 01 bsod nams grags pa/","1723","1789","G162"
"P421","sde srid sangs rgyas rgya mtsho/","1653","1705","G222"
"P4211","bsod nams phyogs glang /","1439","1504","G238,G226"
"P4219","rong po grub chen 05 blo bzang 'phrin las rgya mtsho/","1844","1856","G163"
"P422","ma Ni pa shes rab bkra shis/","1647","1716","G163,G224,G109"
"P4220","sa skya khri rabs 09 'jam dbyangs rin chen rgyal mtshan/","1258","1306","G210"
"P424","la mo grags rgan blo bzang bkra shis/","1647","1713","G161"
"P4244","shAkya 'bum/","1263","1310","G30"
"P4247","dngul chu blo bzang 'jigs med dbang po/","1871","1887","G223"
"P4249","la mo zhabs drung dkar po 02 blo gros rgya mtsho/","1610","1659","G448"
"P425","rig 'dzin nyi ma grags pa/","1647","1710","G491,G1KR1686,G16"
"P4252","lo ras dbang phyug brtson 'grus/","1187","1250" , 
"P426","thon pa mkhas btsun yon tan rgya mtsho/","1443","1521","G108,G3255"
"P427","'phags pa lha 01 bde chen rdo rje/","1439","1487","G180,G2GS1299"
"P4271","rtses thang las chen kun dga' rgyal mtshan/","1432","1506","G607"
"P4278","ras chung rdo rje grags pa/","1085","1161" , 
"P4279","ri pa gzhon nu rgyal mtshan/","1311","1390" , 
"P4280","bsod nams rin chen/","1362","1453" , 
"P4285","rin chen bla ma/","1236","1279","G368"
"P4298","rog zhig po rin chen shes rab/","1171","1245" , 
"P4301","rog shes rab 'od/","1166","1244" , 
"P4302","rong khams zhabs drung chos rgya mtsho/","1665","1732" , 
"P4303","rong pa rdo rje rgyal mtshan/","1283","1325","G3477"
"P4306","bla brang khri 15 bsod nams dbang rgyal/","1726","1793","G162"
"P431","rong ston shes bya kun rig","1367","1449","G233"
"P4310","rgyal lha khang gdan rabs 23","1330","1380","G280"
"P4312","g.yag sde paN chen brtson 'grus dar rgyas/","1299","1378","G451"
"P432","rta tshag 01 chos kyi rgyal mtshan/","1402","1473","G337"
"P4322","g.ya' bzang chos rje chos smon lam/","1169","1233","G444"
"P4329","zwa ra skal ldan ye shes seng+ge","1168","1207" , 
"P433","de mo dkon mchog 'byung gnas/","1454","1506","G303"
"P4332","bla brang khri 18 rab brtan rgya mtsho/","1723","1790","G162"
"P4333","g.yu thog rnying ma yon tan mgon po/","0790","0833" , 
"P4337","g.yer gshong 2","1734","1811","G452"
"P4338","g.yer gshong 1","1651","1733","G452"
"P4340","gung ru rgyal mtshan bzang po/","1383","1450","G154,G226,G330"
"P435","dkon mchog bde legs/","1447","1506" , 
"P4352","legs pa chos 'byor/","1429","1503","G126,G126"
"P4362","rta tshag 04 lha dbang chos kyi rgyal mtshan/","1537","1603","G241,G180"
"P437","gong sman dkon mchog phan dar/","1511","1577" , 
"P4385","zam tsha 04 'jigs med bsam grub rgya mtsho/","1833","1874","G301,G162"
"P4389","zi na skal bzang dar rgyas rgya mtsho/","1803","1866","G160"
"P4391","zi na chos rje legs pa rgya mtsho/","1593","1662","G1951,G160,G155"
"P4396","grags pa seng+ge","1191","1256","G229"
"P4398","bzang po 06 blo bzang bstan pa'i nyi ma/","1871","1932","G454"
"P4400","gzims khang 02 ngag dbang bstan 'dzin mchog grub/","1826","1888","G161"
"P4403","bsod nams rgyal mtshan/","1408","1450","G312"
"P4419","za lung gdan rabs 03 gzhon nu rdo rje/","1207","1263" , 
"P442","gtsang smyon he ru ka rus pa'i rgyan can/","1452","1507" , 
"P4426","zhwa dmar tshul khrims dpal/","1096","1132" , 
"P4430","chos rgyal nam mkha' blo gros/","1403","1477" , 
"P4434","khri 24 byams pa rgya mtsho/","1516","1590","G77,G337,G461,G2365"
"P4435","zhing skyong grags pa bkra shis/","1631","1690","G109,G1951,G161"
"P4436","sde srid bsod nams chos 'phel/","1595","1658" , 
"P4440","chag lo tsA ba dge slong dgra bcom/","1153","1216" , 
"P4441","lha btsun rin chen rnam rgyal/","1473","1557" , 
"P4456","zhang btsun rdo rje 'od zer/","1122","1194","G225"
"P4462","sku 'bum khri 04 shes rab dpal bzang /","1550","1633","G160"
"P447","khri 13 chos kyi bshes gnyen/","1453","1540","G4607,G304,G337"
"P4478","'brug pa gcung ngag gi dbang phyug","1517","1554","G3582"
"P4479","'brug rgyal sras 'jam dpal rdo rje/","1631","1681","G54"
"P4482","mi nyag 01 blo gros dar rgyas/","1675","1753","G160"
"P4487","sde khri 04 blo bzang lung rigs nyi ma/","1862","1874","G301,G162"
"P4488","sde khri 05 'jigs med thub bstan nyi ma/","1874","1898","G162,G301"
"P4493","rta tshag 02 dbon po lha skyabs/","1474","1508","G219"
"P4498","rta tshag 03 li yul chos rgyal/","1509","1526","G219"
"P4507","kun bzang klong yangs/","1644","1696" , 
"P451","smon lam dpal ba/","1414","1491","G104,G108,G337"
"P4512","rdzong pa kun dga' rgyal mtshan/","1382","1446" , 
"P4518","'dzeng sgom d+harma bo dhi/","1052","1168" , 
"P452","ngag dbang grags pa/","1418","1496","G67"
"P4525","tshal pa si tu kun dga' rdo rje/","1309","1364","G30"
"P4532","tshe smon gling 03 ngag dbang blo bzang bstan pa'i rgyal mtshan/","1864","1919","G236,G2466,G220,G337"
"P4535","tshe 'bum zhabs drung bshad sgrub dge legs rab rgyas/","1798","1870","G155,G160"
"P4538","bla brang rgyud pa khri 17 don grub rgya mtsho/","1745","1787","G162"
"P4542","mtshan sgrogs 02 blo bzang bkra shis nyi ma/","1791","1845","G1837,G160"
"P4549","dge bshes thub bstan ye shes/","1935","1984" , 
"P455","khri 14 rin chen 'od zer/","1453","1540","G337,G77"
"P4550","dge bshes rab brtan/","1920","1986" , 
"P4556","dge bshes thub bstan dbang rgyal/","1902","1983" , 
"P4559","gling sprul 06 thub bstan lung rtogs bstan 'dzin 'phrin las/","1903","1983","G126"
"P4561","ril 'bur sprul sku/","1923","2006","G237"
"P4574","zhang ston chos 'bar/","1053","1135" , 
"P4576","dge bshes dge 'dun blo gros/","1924","1979","G110"
"P4578","'bri gung che tshang 01 dkon mchog rin chen/","1590","1654","G340"
"P4579","nA ro gnyis pa bkra shis phun tshogs/","1574","1628","G340,G4418"
"P4580","chos rgyal rin chen phun tshogs/","1547","1602","G340"
"P4581","'bri gung chung tshang 07 bstan 'dzin chos kyi 'byung gnas/","1909","1940","G340"
"P4583","'bri gung chung tshang 02 don grub chos rgyal/","1704","1754","G340"
"P4586","'bri gung pa chos kyi rnam rgyal/","1557","1579","G340"
"P4588","chos rgyal rin chen dpal bzang /","1421","1469","G340"
"P4589","bdag po wang rin chen dbang rgyal/","1395","1467","G340"
"P4590","phag mo rin chen rnam rgyal/","1519","1576","G340"
"P460","sa skya khri chen 23 kun dga' rin chen/","1517","1584","G210"
"P461","sa lo kun dga' bsod nams/","1485","1533","G311,G466,G210"
"P4614","khal kha rje btsun dam pa 02 blo bzang bstan pa'i sgron me/","1724","1757" , 
"P4615","tsa yu nam mkha' rgyal mtshan/","1731","1790","G162"
"P4616","tsa yus ngag dbang bstan 'dzin/","1745","1812" , 
"P462","rin spungs sa skyong mtsho skyes rdo rje/","1462","1510" , 
"P4629","gtsang pa blo gros bzang po/","1360","1423" , 
"P4633","gtsang pa rin chen nam mkha' rdo rje/","1077","1161","G229"
"P4636","khri 07 blo gros brtan pa/","1402","1476","G457,G337"
"P4647","bla brang khri 14 ngag dbang 'phrin las/","1717","1790","G162"
"P4649","gung thang 02 ngag dbang bstan pa'i rgyal mtshan/","1727","1759","G162"
"P4650","bla brang khri 39 dkon mchog bstan dar/","1784","1843","G162"
"P4655","dge bshes grwa pa mngon shes pa/","1012","1090" , 
"P4659","dwags po 'jam dpal lhun grub/","1845","1919","G308,G2357"
"P466","rgyal dbang kun dga' rin chen/","1475","1527","G340,G217"
"P4668","rong tha che tshang 03 blo bzang bstan pa'i rgyal mtshan/","1782","1857","G1KR2692"
"P4677","sa skya dus mchod bla brang pa grags pa rgyal mtshan/","1336","1378" , 
"P4688","mtshungs med bstan 'dzin rdo rje/","1535","1605","G469"
"P469","kaH thog pa ye shes 'bum/","1242","1328" , 
"P4691","yang ri sgar rdor slob 1 rdo rje dpal 'bar/","1525","1595","G62"
"P4699","kye rdor mkhan po ngag dbang mkhas grub/","1779","1838","G1979"
"P470","rat+na gling pa/","1403","1479","G4192"
"P4704","shar gdong 05 blo bzang bshad sgrub rgya mtsho/","1922","2001","G161"
"P4705","bse tshang 03 blo bzang bkra shis rab rgyas/","1814","1879","G163,G471"
"P4716","blo bzang lhun grub/","1782","1847","G237,G394,G337"
"P475","'ba' ra ba nam mkha' rgyal mtshan/","1475","1553" , 
"P4752","shangs pa kun mkhyen mchog lha 'od zer/","1429","1500" , 
"P4759","tshul khang 'jam dpal 'phrin las yon tan rgya mtsho/","1913","1984","G126"
"P4760","khri 18 rgyal mtshan bzang po/","1497","1548","G337,G77"
"P4779","tshe rnam/","1928","2005","G473"
"P4782","dge rtse 03 'gyur med rnam rgyal/","1886","1952","G518,G17"
"P4796","ngag dbang nyi ma/","1907","1990","G109"
"P4797","blo bzang tshul khrims/","1740","1810" , 
"P4799","thub bstan dge legs rgya mtsho/","1844","1904","G1KR166"
"P4801","tshul khrims rgya mtsho/","1922","1986","G109,G301,G162"
"P482","gnyal ston dpal 'byor lhun grub/","1427","1514","G155,G154"
"P4820","go shrI chos rje/","1781","1859" , 
"P4830","sreg ston/","1432","1481" , 
"P4831","sangs rgyas rin chen sgang pa/","1245","1302","G235"
"P4853","mkhas dbang byams pa 'phrin las/","1928","2011" , 
"P4856","mkhyen rab 'od gsal/","1925","1997" , 
"P4857","nyag rong pa zla ba bzang po/","1916","1958" , 
"P487","bdag chen blo gros rgyal mtshan/","1444","1495","G311,G210"
"P4902","stag lung zhabs drung ngag dbang rnam rgyal/","1571","1626","G67"
"P4948","yil go san hu thog thu/","1820","1882","G498"
"P4994","btsan po no min han 04 'jam dpal chos kyi bstan 'dzin 'phrin las/","1789","1839","G294"
"P4CZ10557","rma lo tsA ba rma ban chos 'bar/","1044","1089" , 
"P4CZ16798","rgya nag gi mkhan po wen tsheg","0613","0696" , 
"P4CZ296787","snar skyid ngag dbang don grub/","1931","2017" , 
"P4CZ321153","rwa stod rin po che/","1915","1992","G3109"
"P4CZ321156","dge bshes grub thob/","1928","1999" , 
"P4CZ321338","mi nyag skyor dpon blo bzang yon tan/","1902","1958" , 
"P4CZ333386","rgyud smad mkhan zur o rgyan tshe brtan/","1914","2007","G394"
"P4CZ333431","lha btsun sprul sku blo bzang thub bstan dge legs rab rgyas/","1984","1967" , 
"P4CZ354960","bya btang mkha' 'gro bskal bzang lha mo/","1934","2000" , 
"P4CZ358160","rig 'dzin bde gshegs gling pa/","1842","1907" , 
"P4CZ65552","rje btsun blo bzang 'od zer/","1888","1950" , 
"P4CZ74169","dge bshes byams pa bzang po/","1850","1933","G269"
"P502","dpal ldan tshul khrims/","1333","1399" , 
"P503","go shrI don grub rgyal po/","1369","1427","G340"
"P504","kun spangs nam mkha' dpal dbyangs/","1333","1379","G67"
"P5041","rnga rgod 04 blo bzang byams pa rab rgyas/","1781","1849" , 
"P5049","rdzogs chen pa bsod nams dbang po/","1550","1625","G503,G4176"
"P505","sa skya pa tA dben blo gros rgyal mtshan/","1332","1364","G880,G436"
"P5054","glag bla bsod nams chos 'grub/","1862","1944","G16,G4153"
"P5058","ser lo mkhan po sangs rgyas bstan 'dzin/","1923","1990","G481"
"P507","shanti pa blo gros rgyal mtshan/","1487","1567","G106"
"P5070","tshe smon gling 04 ngag dbang thub bstan mkhas grub dge legs rgyal mtshan/","1921","1948","G220"
"P5072","la mo grags rgan 02 blo bzang bstan 'dzin rgya mtsho/","1716","1781","G271"
"P5073","la mo grags rgan 03 blo bzang bstan pa'i rgyal mtshan/","1782","1847","G271"
"P5074","la mo grags rgan 04 blo bzang snyan grags rgya mtsho/","1848","1900","G271"
"P5075","la mo grags rgan 05 'jigs med bkra shis rgya mtsho/","1902","1945","G271"
"P5083","grub dbang pad+ma nor bu/","1679","1757","G18"
"P5085","mtshur phu rgyal tshab 05 pa grags pa mchog dbyangs/","1617","1658","G33"
"P509","zhabs drung ngag dbang rnam rgyal/","1594","1651","G3582"
"P5091","kun mkhyen bkra shis rnam rgyal/","1399","1458" , 
"P510","'brug rje mkhan po 02 bsod nams 'od zer/","1613","1689","G347,G54"
"P5109","chab spel tshe brtan phun tshogs/","1922","2013" , 
"P511","'brug rje mkhan po 03 pad dkar lhun grub/","1640","1699","G54,G348"
"P512","rgyal sras bstan 'dzin rab rgyas/","1638","1698","G218"
"P513","gtsang mkhan chen dpal ldan rgya mtsho/","1610","1684" , 
"P5131","skyed tshal pa bla rabs 01 kun dga' dpal 'byor/","1135","1200" , 
"P5132","sangs rgyas yel pa/","1134","1194","G488"
"P5133","ti shrI ras pa shes rab seng+ge","1164","1236" , 
"P514","sgang steng sprul sku 02 bstan 'dzin legs pa'i don grub/","1645","1726","G183"
"P5154","khams sprul 07 sangs rgyas bstan 'dzin/","1909","1929","G50"
"P5155","'dzi sgar 03 mi pham 'phrin las dpal 'byor/","1720","1740","G185"
"P5160","bde chen chos 'khor yongs 'dzin 03 dge legs bzhad pa/","1677","1719","G47"
"P5164","sdings po che cog grwa 02 snyan grags dpal bzang /","1617","1688","G206"
"P5166","khrom bzher rin chen seng+ge","1100","1170","G227"
"P5167","'ol kha ba chos g.yung /","1103","1199" , 
"P517","'brug rje mkhan po 04 pad dkar lhun grub/","1639","1708","G54"
"P5173","rgyal mkhan chen skal bzang grags pa rgya mtsho/","1880","1923","G162,G301"
"P5187","brag g.yab chung tshang 01 sangs rgyas bkra shis/","1588","1651","G460"
"P5188","brag g.yab che tshang 02 ngag dbang bsod nams lhun grub/","1647","1682","G460"
"P5189","brag g.yab chung tshang 02 grags pa chos 'dzin/","1657","1661","G460"
"P5190","brag g.yab che tshang 03 ngag dbang tshul khrims legs grub/","1683","1692","G460"
"P520","lho grub chen ngag dbang bsam gtan/","1631","1709" , 
"P5209","ngor mkhan chen 27 shes rab bzang po/","1661","1714","G2CN10992,G211"
"P521","'brug rgyal sras sprul sku 02 kun dga' rgyal mtshan/","1689","1713" , 
"P5214","ngor mkhan chen 29 bsod nams dpal ldan/","1669","1713","G211"
"P5215","ngor mkhan chen 30 byams pa bsod nams bzang po/","1689","1749","G211"
"P5216","bstan 'dzin shes rab/","1768","1817" , 
"P522","'brug rje mkhan po 05 bzod pa 'phrin las/","1645","1729","G54,G4711"
"P523","'brug rje mkhan po 06 ngag dbang lhun grub/","1670","1730","G54"
"P5234","sgrol ma bsam 'grub rdo rje/","1295","1334","G3CN379"
"P5238","bstan pa rgya mtsho/","1909","1971" , 
"P5254","rig 'dzin rgod kyi ldem 'phru can/","1337","1409" , 
"P526","mtshams brag bla ma ngag dbang 'brug pa/","1682","1748","G382"
"P5262","yang dgon pa rgyal mtshan dpal/","1213","1258","G3873"
"P528","'brug rje mkhan po 08 bstan 'dzin nor bu/","1689","1744","G54"
"P5280","spyan snga bsod nams rgyal mtshan/","1386","1435" , 
"P529","se la byams mgon 01 ngag dbang rgyal mtshan/","1647","1732","G56"
"P530","'brug rje mkhan po 09 shAkya rin chen/","1710","1759","G54"
"P5302","mus srad pa byams pa rdo rje rgyal mtshan/","1424","1498" , 
"P531","'brug bla ma khri pa 02 mi pham dbang po/","1709","1738","G218,G183"
"P5316","dgon rtse sprul sku skal bzang rin chen dbang phyug","1751","1816" , 
"P5326","dka' bcu pa brtson 'grus bzod pa/","1866","1929" , 
"P5327","mkhan chen chos rgyal 03 tshe dbang skyabs mchog","1759","1846" , 
"P533","dre'u lhas grub dbang 02 kun dga' mi 'gyur rdo rje/","1721","1769","G48"
"P5335","sgam po sku skye nor bu rgyan pa/","1589","1633","G197"
"P5338","dka' bcu pa shes rab rgyal mtshan/","1909","1985","G3090"
"P534","'brug rgyal sras sprul sku 04 'brug sgra rnam rgyal/","1737","1762","G4711,G54"
"P5340","gter ston sangs rgyas gling pa/","1340","1396","G526"
"P535","zhabs drung thugs sprul 01 'jigs med grags pa/","1724","1761" , 
"P536","zhabs drung gsung sprul 02 shAkya bstan 'dzin/","1736","1780" , 
"P5361","sde khri 06 skal bzang mkhyen rab rgya mtsho/","1898","1939","G301"
"P5362","sde khri 07 'jam dbyangs bstan pa'i rgyal mtshan/","1939","1944","G301,G162"
"P5364","gung thang 05 'jam dbyangs bstan pa'i nyi ma/","1860","1925","G162,G301"
"P5367","dbal mang 03 'jam dbyangs bstan 'dzin rgya mtsho/","1854","1919","G301"
"P537","'brug bla ma khri pa 03 'jigs med seng+ge","1742","1789" , 
"P5372","bsod grags sprul sku 04 skal bzang bsod nams rgya mtsho/","1919","1959","G162,G301"
"P5374","rab brtan rgya mtsho khri sprul 02 dkon mchog chos ldan/","1792","1849","G162"
"P5375","rab brtan rgya mtsho khri sprul 03 dkon mchog bstan 'dzin rgya mtsho/","1852","1907","G301,G162"
"P5376","rab brtan rgya mtsho khri sprul 04 skal bzang thub bstan rgya mtsho/","1909","1994","G3090,G435,G162,G301"
"P5378","pra nye 02 skal bzang dge legs rgya mtsho/","1776","1833","G162,G3090,G109"
"P538","'brug rje mkhan po 12 kun dga' rgya mtsho/","1722","1772","G54"
"P5383","chos rdzong 04 dkon mchog bstan pa'i dpal bzang /","1808","1874","G301"
"P5385","karma bsam gtan dpal/","1877","1935" , 
"P5386","phun tshogs lung rtogs/","1883","1926" , 
"P539","'brug rje mkhan po 14 bstan 'dzin rnam rgyal/","1733","1781","G54"
"P5391","snyan grags sprul sku 02 blo bzang lung rtogs nyi ma/","1801","1862","G162"
"P540","'brug rje mkhan po 16 shes rab seng+ge","1724","1793","G54"
"P5401","'bring ba sprul sku skal bzang smra ba'i seng+ge","1925","1959","G301"
"P5416","ra rgya sprul sku 04 dkon mchog bstan pa rgya mtsho/","1931","1959","G301"
"P5417","hor sprul sku 05 'jam dbyangs mkhas grub rgya mtsho/","1895","1958","G301"
"P5418","hor tshang gser khri 06 blo bzang dpal ldan rgya mtsho/","1913","1958","G162,G301"
"P5419","sgyis dge tshang 'jam dbyangs bstan 'dzin chos kyi dbang phyug","1904","1967","G301,G162"
"P5420","tsa yus 05 'jam dbyangs bstan 'dzin 'phrin las rgya mtsho/","1920","1953","G3090,G2521,G301"
"P5421","sum mthil skal bzang thub bstan rgya mtsho/","1916","1958","G301,G1967"
"P5422","ko'u dge sprul sku skal bzang lung rigs rgya mtsho/","1926","1959","G301"
"P5425","snyan dgon sprul sku mdo sngags chos kyi rgya mtsho/","1903","1957","G501"
"P543","a mo ri mu chos rje 01 ngag dbang 'phrin las/","1712","1770","G54,G56"
"P5434","nyi lde rdi tsha sprul sku 06 blo gros rgya mtsho lhun grub/","1771","1810" , 
"P5439","nyi lde rje dbon sprul sku 05 lha dbang bsam grub/","1793","1810","G4206"
"P5440","nyi lde rje dbon sprul sku 06 lung rtogs bstan 'dzin dbang phyug","1812","1818","G4206"
"P5456","de mo 02 dpal 'byor bkra shis/","1507","1571","G303"
"P5459","bla ma gsang sngags/","1934","2007" , 
"P5465","'ol dga' rje drung 01 bstan pa rgya mtsho/","1560","1625","G184"
"P5466","'ol dga' rje drung 02","1646","1696","G184"
"P5467","'ol dga' rje drung 04 blo bzang lhun grub 'phrin las rgyal mtshan/","1741","1811","G184"
"P547","'brug rje mkhan po 15 kun bzang rgyal mtshan/","1729","1786","G54"
"P548","se la byams mgon 02 ye shes rdo rje/","1757","1805","G54,G56"
"P5494","mnyam med sangs rgyas dpal bzang /","1257","1311","G67"
"P5499","se chen rgyal po/","1215","1294" , 
"P55","mkhas grub rje dge legs dpal bzang /","1385","1438","G337,G1KR1539"
"P550","'brug rje mkhan po 13 yon tan mtha' yas/","1724","1784","G54"
"P551","'brug rgyal sras sprul sku 05 'jigs med rnam rgyal/","1763","1795","G54"
"P552","'brug rje mkhan po 18 'jam dbyangs rgyal mtshan/","1743","1803","G54"
"P553","pad dkar bstan 'dzin/","1750","1798" , 
"P5530","'jam dbyangs rgya mtsho/","1803","1865","G162"
"P5533","glan tshul khrims byang chub 01","1004","1102","G280"
"P5534","tshul khrims byang chub 2","1128","1191","G280"
"P5537","bla brang gling don grub rgya mtsho/","1702","1769","G162"
"P5538","gling mod blo bzang rin chen/","1719","1793","G162"
"P554","'brug rje mkhan po 22 'jigs med rgyal mtshan/","1752","1826","G54,G57"
"P5543","rje drung kun dga' dpal ba/","1451","1514","G180"
"P5545","stag lung khri bkra shis dpal phyi ma/","1461","1508","G67"
"P5547","sgam po bsod nams dbang rgyal/","1516","1553","G197"
"P555","zhabs drung thugs sprul 02 chos kyi rgyal mtshan/","1762","1788" , 
"P5551","sgam po thub dbang bstan 'dzin/","1519","1562","G197"
"P5553","khri 23 tshe brtan rgya mtsho/","1520","1576","G607,G304,G337"
"P5557","rgyal dbang rnam rgyal bkra shis/","1524","1563","G67"
"P5561","spang dkar rin po che/","1534","1608" , 
"P5562","mkhan chen nam mkha' rgya mtsho/","1541","1600","G308"
"P5563","khri 27 sangs rgyas rin chen/","1540","1612","G337"
"P5564","zur mang bya btang blo gros rgya mtsho/","1479","1540" , 
"P5565","khri 17 rdo rje bzang po/","1491","1554","G2368,G304,G337"
"P5567","rje drung kun dga' blo gros/","1483","1566","G180"
"P5569","rje drung shes rab dbang po/","1500","1586","G155,G180"
"P557","'brug rje mkhan po 21 'jam dpal grags pa/","1766","1834","G54"
"P5570","khri 33 grags pa rgya mtsho/","1555","1627","G3036,G337"
"P5571","khri 29 bshes gnyen grags pa/","1545","1615","G337"
"P5573","mnga' ris pa bstan pa'i rgyal mtshan/","1601","1674","G337"
"P5574","byams pa bkra shis/","1618","1684","G77,G337,G308,G236"
"P5575","sgam po pa bkra shis kun grags/","1572","1599","G197"
"P5580","dkon rdor sprul sku 01 mkhas grub shAkya lha dbang /","1586","1655","G3488"
"P5585","gzims khang gong ma 03 bsod nams dge legs dpal bzang /","1594","1615","G108"
"P559","si tu 09 pad+ma nyin byed dbang po/","1774","1853","G36"
"P5591","gung thang 06 'jigs med bstan pa'i dbang phyug","1926","2000","G162"
"P5592","stag bla pad+ma blo gros/","1591","1637" , 
"P56","mkhan chen bsod nams mchog grub/","1399","1452" , 
"P560","ngor pa dpon slob blo gter dbang po/","1847","1914","G211"
"P5617","dka' chen blo bzang bzod pa/","1922","1995","G505"
"P5630","brag dkar rta so sprul sku chos kyi dbang phyug","1775","1837","G317"
"P5634","brag g.yab chung tshang 04 skal bzang thub bstan dbang phyug","1741","1774","G460"
"P5636","smyo shul mkhan po 'jam dbyangs rdo rje/","1931","1999" , 
"P564","gter ston mchog gyur gling pa/","1829","1870","G1AG98"
"P5640","sgo chen mkhan po dpal ldan shes rab/","1938","2010","G1KG5757"
"P5642","kwa ring mkhan chen blo bzang chos dar/","1732","1812","G162,G109"
"P5643","yil gog san er ti ni mer gen paNDi ta blo bzang bstan pa dar rgyas/","1757","1815" , 
"P566","zhabs drung thugs sprul 03 'jigs med grags pa 02","1791","1830","G189"
"P567","zhabs drung gsung sprul 03 ye shes rgyal mtshan/","1781","1830","G55,G54"
"P568","'brug bla ma khri pa 04 ngag dbang 'jam dpal rgya mtsho/","1790","1820","G54"
"P5684","mtshur phu rgyal tshab 04 pa grags pa don grub/","1550","1617","G33"
"P569","'brug rje mkhan po 27 pad+ma bzang po/","1779","1850","G54"
"P570","'brug rje mkhan po 28 rin chen bzang po/","1777","1848","G54"
"P573","'brug rje mkhan po 19 ngag dbang chos rgyal/","1756","1816","G54"
"P574","'brug rje mkhan po 26 yon tan rgya mtsho/","1780","1840","G54"
"P575","'brug rje mkhan po 31 yon tan rgyal mtshan/","1804","1870","G54"
"P577","'brug rgyal sras sprul sku 06 'jam dpal rdo rje/","1798","1829","G54"
"P5778","khal kha rje btsun dam pa 04 blo bzang thub bstan dbang phyug 'jigs med rgya mtsho/","1775","1813","G1979"
"P5779","khal kha rje btsun dam pa 01 blo bzang bstan pa'i rgyal mtshan/","1635","1723" , 
"P578","a mo ri mu chos rje 02 shAkya rgyal mtshan/","1790","1836","G54,G56"
"P579","'brug rje mkhan po 25 shes rab rgyal mtshan/","1772","1848","G54,G58"
"P5791","sgrub khang blo bzang dge legs rgyal mtshan/","1780","1815" , 
"P58","spyan snga blo gros rgyal mtshan/","1402","1472","G235,G227"
"P580","zhabs drung thugs sprul 04 'jigs med nor bu/","1831","1861","G189,G4879"
"P581","zhabs drung gsung sprul 04 'jigs med rdo rje/","1831","1850" , 
"P582","se la byams mgon 03 'jam dbyangs bstan 'dzin/","1831","1855","G56"
"P583","'brug rje mkhan po 30 'jam dpal rgya mtsho/","1798","1858","G54"
"P584","zhabs drung gsung sprul 05 ye shes dngos grub/","1851","1917","G55,G54"
"P585","'brug rje mkhan po 32 tshul khrims rgyal mtshan/","1802","1860","G54"
"P586","'brug rje mkhan po 33 kun dga' dpal 'byor/","1806","1861","G54"
"P587","'brug rje mkhan po 34 bshad sgrub 'od zer/","1810","1872","G54,G57"
"P588","'brug rje mkhan po 51 byams pa'i stobs bzang /","1851","1916","G54"
"P5899","khyung tshang pa ye shes bla ma/","1115","1176" , 
"P590","'brug rje mkhan po 35 shAkya rgyal mtshan/","1813","1875","G54"
"P5900","a jo rdzong pa mi pham yar 'phel dbang po/","1632","1704" , 
"P591","'brug rje mkhan po 36 yon tan dpal bzang /","1811","1877","G57,G54"
"P5913","skal bzang thabs mkhas rgya mtsho/","1879","1940","G162"
"P5916","spyil dkar ba/","1228","1300" , 
"P5924","dge bshes lha mo tshul khrims/","1889","1958" , 
"P5926","dor zhi 05 shes rab dar rgyas rgya mtsho/","1864","1934" , 
"P5928","dpyi sa blo gros rgya mtsho/","1890","1959","G163"
"P593","'brug rje mkhan po 37 kun dga' seng+ge","1815","1875","G54"
"P5930","khra dge slong tshul khrims dar rgyas/","1866","1937" , 
"P594","'brug rje mkhan po 39 blo gros rgyal mtshan/","1826","1884","G54"
"P595","'brug rje mkhan po 40 pad dkar 'od zer/","1833","1881","G54"
"P5957","lam rim pa ngag dbang phun tshogs/","1922","1997" , 
"P5958","bstan 'dzin 'phrin las kun mkhyen/","1915","1960" , 
"P596","'brug rje mkhan po 41 ngag dbang don ldan/","1818","1886","G54"
"P5960","mdo ba mkhan chen sprul sku 'jigs med kun bzang blo gros/","1912","1994" , 
"P597","a mo ri mo chos rje 03 'phrin las rgyal mtshan/","1839","1898","G56,G54"
"P5970","gter ston bsod rgyal/","1856","1926" , 
"P5971","rgyal sras bsod nams lde'u btsan/","1679","1723","G17"
"P598","'brug rje mkhan po 43 bstan 'dzin lhun grub/","1838","1889","G54"
"P599","'brug rje mkhan po 45 'phrin las rgya mtsho/","1844","1894","G54"
"P5998","smyo shul a ngag","1858","1914" , 
"P6","smin gling khri chen pad+ma 'gyur med rgya mtsho/","1686","1718","G14"
