Dharma_Drum_Authority_No,Main_Name,Birth,Death
A001039,崇裕,+1304-02-14 ~ +1305-02-02,+1378-01-01 ~ +1378-12-31
A001041,崔致遠,+0857-01-01 ~ +0859-12-31,+0904-01-01 ~ +0959-12-31
A001045,康孟詳,+0145 ~ +0193,+0200 ~ +0249
A001046,康僧會,+0181,+0280-10-11 ~ +0280-11-08
A001049,張師誠,+1762-09-11,+1830-02-08
A001050,張商英,+1044-01-01 ~ +1044-12-31,+1122-02-16 ~ +1123-02-04
A001057,從義,+1042-01-01 ~ +1042-12-31,+1091-02-18
A001060,惟一,+1202-01-01 ~ +1202-12-31,+1281-10-21
A001064,惟則,+1286-01-01 ~ +1286-12-31,+1354-02-02 ~ +1355-01-21
A001066,南嶽惟勁,+0858 ~ +0906,+0916 ~ +0957
A001081,梁肅,+0753-01-01 ~ +0753-12-31,+0793-02-19 ~ +0794-02-08
A001082,梵琦,+1296-07-28,+1370-08-25
A001086,正澄,+1274-02-18,+1339-03-06
A001087,清茂,+1262-08-24,+1329-12-20
A001089,清欲,+1292-01-01 ~ +1292-12-31,+1367-09-27
A001096,清覺,+1043-01-01 ~ +1043-12-31,+1121-11-14
A001103,淨柱,+1602-01-01 ~ +1602-12-31,+1655-01-20
A001105,淨倫,+1427-02-06 ~ +1428-01-25,+1492-02-07 ~ +1493-01-26
A001106,淨挺,+1615-11-24,+1684-11-01
A001109,淨訥,+1610-01-01 ~ +1610-12-31,+1673-06-07
A001113,淨源,+1011-01-01 ~ +1011-12-31,+1088-12-19
A001121,淨覺,+0683-01-01 ~ +0683-12-31,+0750-01-01 ~ +0750-12-31
A001128,紹隆,+1077-01-01 ~ +1077-12-31,+1136-06-16
A001134,廣承,+1560-09-25,+1609-08-31
A001138,處元,+1030-01-01 ~ +1030-12-31,+1119-03-23 ~ +1120-02-07
A001140,處咸,+1016-10-18,+1086-09-09
A001142,處謙,+1011-01-01 ~ +1011-12-31,+1075-04-28
