"name","birth","death","lifespan","occupation","country","id","dataset"
"Joseph Philippe de Clairville",1742,1830,88,"botanist","France","http://www.wikidata.org/entity/Q689684","wikidata"
"Louis Brion de la Tour",1743,1803,60,"geographer","France","http://www.wikidata.org/entity/Q3261362","wikidata"
"Jean Baptiste Lucien",1748,1806,58,"engraver","France","http://www.wikidata.org/entity/Q94007216","wikidata"
"Pierre-Noël Violet",1749,1819,70,"painter","France","http://www.wikidata.org/entity/Q18530661","wikidata"
"Anne-François-Joachim Fréville",1749,1832,83,"writer","France","http://www.wikidata.org/entity/Q2850776","wikidata"
"Anne Louis Henri de La Fare",1752,1829,77,"politician","France","http://www.wikidata.org/entity/Q2255187","wikidata"
"Jean Balthasar de la Traverse",1752,1808,56,"actor","France","http://www.wikidata.org/entity/Q67323105","wikidata"
"Wilhelm Peter Franz von Loucey",1754,1836,82,"military personnel","France","http://www.wikidata.org/entity/Q27918538","wikidata"
"Philibert Borie",1759,1832,73,"physician","France","http://www.wikidata.org/entity/Q656015","wikidata"
"Philippe Abraham Peticolas",1760,1841,81,"artist","Italy","http://www.wikidata.org/entity/Q21071029","wikidata"
"Paul Bruleau",1760,1833,73,"painter","France","http://www.wikidata.org/entity/Q4097423","wikidata"
"Jean-Baptiste Masclet",1762,1836,74,"Catholic priest","France","http://www.wikidata.org/entity/Q11717210","wikidata"
"Charles de Suremain",1762,1835,73,"diplomat","France","http://www.wikidata.org/entity/Q15695006","wikidata"
"Ambrose Duval",1765,1860,95,"teacher","France","http://www.wikidata.org/entity/Q21683770","wikidata"
"John Condé",1765,1794,29,"engraver","France","http://www.wikidata.org/entity/Q6226844","wikidata"
"François Gavot",1766,1830,64,"priest","France","http://www.wikidata.org/entity/Q56508800","wikidata"
"Q61114680",1766,1849,83,"pedagogue","France","http://www.wikidata.org/entity/Q61114680","wikidata"
"Eligius Fromentin",1767,1822,55,"judge","France","http://www.wikidata.org/entity/Q1329343","wikidata"
